"","inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"156","SI","Instruments",108,9,0.0833,"5269","1939",0.368,"F05, F06, F07","Slovenia"
"157","SI","Other Fields",86,1,0.0116,"5269","1939",0.368,"F05, F06, F07","Slovenia"
"158","SK","Chemistry",70,20,0.2857,"18886","6605",0.3497,"F05, F06, F07","Slovakia"
"159","SK","Electrical Engineering",91,2,0.022,"18886","6605",0.3497,"F05, F06, F07","Slovakia"
"160","SK","Mechanical Engineering",74,1,0.0135,"18886","6605",0.3497,"F05, F06, F07","Slovakia"
"161","TR","Chemistry",204,36,0.1765,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"162","TR","Electrical Engineering",301,18,0.0598,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"163","TR","Instruments",175,16,0.0914,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"164","TR","Mechanical Engineering",181,12,0.0663,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"165","TR","Other Fields",165,21,0.1273,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"166","US","Chemistry",294175,43749,0.1487,"725520","242376",0.3341,"F05, F06, F07","United States"
"167","US","Electrical Engineering",600638,47482,0.0791,"725520","242376",0.3341,"F05, F06, F07","United States"
"168","US","Instruments",290595,26591,0.0915,"725520","242376",0.3341,"F05, F06, F07","United States"
"169","US","Mechanical Engineering",224071,12634,0.0564,"725520","242376",0.3341,"F05, F06, F07","United States"
"170","US","Other Fields",95635,8798,0.092,"725520","242376",0.3341,"F05, F06, F07","United States"
"171","AT","Overall",13277,816,0.0615,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"172","AU","Overall",17128,1601,0.0935,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"173","BE","Overall",15133,1874,0.1238,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"174","BR","Overall",3437,407,0.1184,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"175","CA","Overall",63674,5622,0.0883,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"176","CH","Overall",30091,2604,0.0865,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"177","CL","Overall",522,59,0.113,"5484.167","1830.5",0.3338,"F05, F06, F07","Chile"
"178","CO","Overall",259,46,0.1776,"53642","21696",0.4045,"F05, F06, F07","Colombia"
"179","CR","Overall",95,3,0.0316,"867","273",0.3149,"F05, F06, F07","Costa Rica"
"180","CZ","Overall",1744,109,0.0625,"29087","9883",0.3398,"F05, F06, F07","Czechia"
"181","DE","Overall",213356,14106,0.0661,"230160","79142",0.3439,"F05, F06, F07","Germany"
"182","DK","Overall",11637,1342,0.1153,"27644","10570",0.3824,"F05, F06, F07","Denmark"
"183","EE","Overall",364,49,0.1346,"3079","1361",0.442,"F05, F06, F07","Estonia"
"184","ES","Overall",10291,1865,0.1812,"163197","67224",0.4119,"F05, F06, F07","Spain"
"185","FI","Overall",16047,1480,0.0922,"34157","11358",0.3325,"F05, F06, F07","Finland"
"186","FR","Overall",83260,12031,0.1445,"487027","165324",0.3395,"F05, F06, F07","France"
"187","GB","Overall",69099,5828,0.0843,"220940.29","82020.07",0.3712,"F05, F06, F07","United Kingdom"
"188","GR","Overall",811,88,0.1085,"11102","5107",0.46,"F05, F06, F07","Greece"
"189","HU","Overall",2102,205,0.0975,"26012","9055",0.3481,"F05, F06, F07","Hungary"
"190","IE","Overall",5270,452,0.0858,"7338","2267",0.3089,"F05, F06, F07","Ireland"
"191","IL","Overall",31083,3700,0.119,"16445","6567",0.3993,"F05, F06, F07","Israel"
"192","IS","Overall",443,50,0.1129,"288","122",0.4236,"F05, F06, F07","Iceland"
"193","IT","Overall",31467,3915,0.1244,"107558","45390",0.422,"F05, F06, F07","Italy"
"194","JP","Overall",497525,31228,0.0628,"117808","15051",0.1278,"F05, F06, F07","Japan"
"195","KR","Overall",134395,27930,0.2078,"131464","32769",0.2493,"F05, F06, F07","South Korea"
"196","LT","Overall",194,48,0.2474,"13240","5180",0.3912,"F05, F06, F07","Lithuania"
"197","LU","Overall",681,43,0.0631,"299","115",0.3846,"F05, F06, F07","Luxembourg"
"198","LV","Overall",135,29,0.2148,"6297","2640",0.4192,"F05, F06, F07","Latvia"
"199","MX","Overall",1882,203,0.1079,"52038","18920",0.3636,"F05, F06, F07","Mexico"
"200","NL","Overall",30803,2226,0.0723,"38081","12092",0.3175,"F05, F06, F07","Netherlands"
"201","NO","Overall",6495,421,0.0648,"21292","7799",0.3663,"F05, F06, F07","Norway"
"202","NZ","Overall",3260,314,0.0963,"8778","3519.833",0.401,"F05, F06, F07","New Zealand"
"203","PL","Overall",1878,272,0.1448,"292276","125767",0.4303,"F05, F06, F07","Poland"
"204","PT","Overall",800,158,0.1975,"56246","23705",0.4215,"F05, F06, F07","Portugal"
"205","RU","Overall",5000,516,0.1032,"1179196","387931",0.329,"F05, F06, F07","Russia"
"206","SE","Overall",25993,2325,0.0894,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"207","SI","Overall",592,100,0.1689,"5269","1939",0.368,"F05, F06, F07","Slovenia"
"208","SK","Overall",270,25,0.0926,"18886","6605",0.3497,"F05, F06, F07","Slovakia"
"209","TR","Overall",934,99,0.106,"52180","23110",0.4429,"F05, F06, F07","Turkey"
"210","US","Overall",1336497,126095,0.0943,"725520","242376",0.3341,"F05, F06, F07","United States"
